date,n_active_sessions_grid,weekend,holiday,hour_0,hour_1,hour_2,dayofyear_0,dayofyear_1,dayofyear_2,dayofyear_3,dayofweek_0,dayofweek_1,dayofweek_2,dayofweek_3
2023-11-13 08:00:00,0,0,0,0.33660441498161275,0.9981114264353292,0.4005431261771319,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 09:00:00,1,0,0,0.25206410632385157,0.9702070790698969,0.5053926334912135,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 10:00:00,2,0,0,0.18244194768891162,0.9115328926357037,0.6163551452586801,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 11:00:00,1,0,0,0.12763238565316098,0.8277567757662238,0.7265334899073946,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 12:00:00,1,0,0,0.12763238565316098,0.7265334899073945,0.8277567757662239,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 13:00:00,1,0,0,0.1824419476889115,0.6163551452586801,0.9115328926357037,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 14:00:00,1,0,0,0.2520641063238517,0.5053926334912132,0.970207079069897,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 15:00:00,1,0,0,0.33660441498161275,0.40054312617713167,0.9981114264353292,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 16:00:00,1,0,0,0.43446130562318697,0.3068259960621381,0.9924670790707159,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 17:00:00,1,0,0,0.5420069956565413,0.22717342011673464,0.9538403407863101,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 18:00:00,1,0,0,0.6535535454504853,0.16257185982045674,0.8860490340228775,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 19:00:00,0,0,0,0.761692978206885,0.11244903316907558,0.7955405491377259,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 20:00:00,0,0,0,0.8580275309732107,0.14431919677311858,0.6903818718787685,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 21:00:00,0,0,0,0.9342110244260491,0.20396802033474817,0.5790804876286293,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 22:00:00,0,0,0,0.9831306752582376,0.278626585253856,0.469473386225221,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-13 23:00:00,0,0,0,1.0,0.3678794411714425,0.36787944117144217,0.7494960078592912,0.0942007730838461,0.1176067223419762,0.807040290959341,1.0,0.36787944117144233,0.01831563888873418,0.36787944117144233
2023-11-14 00:00:00,0,0,0,1.0,0.36787944117144233,0.36787944117144217,0.7582782906419228,0.09741650593992766,0.11388168349421757,0.7987957258663692,0.6411803884299546,0.8948393168143698,0.169013315406066,0.06217652402211635
2023-11-14 01:00:00,0,0,0,0.9831306752582376,0.4694733862252213,0.2786265852538557,0.7582782906419228,0.09741650593992766,0.11388168349421757,0.7987957258663692,0.6411803884299546,0.8948393168143698,0.169013315406066,0.06217652402211635
2023-11-14 02:00:00,0,0,0,0.9342110244260492,0.5790804876286293,0.20396802033474817,0.7582782906419228,0.09741650593992766,0.11388168349421757,0.7987957258663692,0.6411803884299546,0.8948393168143698,0.169013315406066,0.06217652402211635
