interval_start,n_active_sessions_grid,weekend,holiday,hour_0,hour_1,hour_2,dayofyear_0,dayofyear_1,dayofyear_2,dayofweek_0,dayofweek_1,dayofweek_2
2025-02-08 14:00:00,0,1,0,0.2520641063238517,0.5053926334912132,0.970207079069897,0.907057659908186,0.6231975445341567,0.1786714216860144,0.778800783071405,0.10539922456186433,0.7788007830714047
2025-02-08 15:00:00,0,1,0,0.33660441498161275,0.40054312617713167,0.9981114264353292,0.907057659908186,0.6231975445341567,0.1786714216860144,0.778800783071405,0.10539922456186433,0.7788007830714047
2025-02-08 16:00:00,0,1,0,0.43446130562318697,0.3068259960621381,0.9924670790707159,0.907057659908186,0.6231975445341567,0.1786714216860144,0.778800783071405,0.10539922456186433,0.7788007830714047
2025-02-08 17:00:00,0,1,0,0.5420069956565413,0.22717342011673464,0.9538403407863101,0.907057659908186,0.6231975445341567,0.1786714216860144,0.778800783071405,0.10539922456186433,0.7788007830714047
2025-02-08 18:00:00,0,1,0,0.6535535454504853,0.16257185982045674,0.8860490340228775,0.907057659908186,0.6231975445341567,0.1786714216860144,0.778800783071405,0.10539922456186433,0.7788007830714047
2025-02-08 19:00:00,0,1,0,0.761692978206885,0.11244903316907558,0.7955405491377259,0.907057659908186,0.6231975445341567,0.1786714216860144,0.778800783071405,0.10539922456186433,0.7788007830714047
2025-02-08 20:00:00,0,1,0,0.8580275309732107,0.14431919677311858,0.6903818718787685,0.907057659908186,0.6231975445341567,0.1786714216860144,0.778800783071405,0.10539922456186433,0.7788007830714047
2025-02-08 21:00:00,0,1,0,0.9342110244260491,0.20396802033474817,0.5790804876286293,0.907057659908186,0.6231975445341567,0.1786714216860144,0.778800783071405,0.10539922456186433,0.7788007830714047
2025-02-08 22:00:00,0,1,0,0.9831306752582376,0.278626585253856,0.469473386225221,0.907057659908186,0.6231975445341567,0.1786714216860144,0.778800783071405,0.10539922456186433,0.7788007830714047
2025-02-08 23:00:00,0,1,0,1.0,0.3678794411714425,0.36787944117144217,0.907057659908186,0.6231975445341567,0.1786714216860144,0.778800783071405,0.10539922456186433,0.7788007830714047
