date,weekend,holiday,hour_0,hour_1,hour_2,dayofyear_0,dayofyear_1,dayofyear_2,dayofweek_0,dayofweek_1,dayofweek_2,n_active_sessions_grid
2023-11-14 01:00:00,0,0,0.9831306752582376,0.4694733862252213,0.2786265852538557,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,0
2023-11-14 02:00:00,0,0,0.9342110244260492,0.5790804876286293,0.2039680203347481,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,0
2023-11-14 03:00:00,0,0,0.8580275309732107,0.6903818718787685,0.1443191967731185,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,0
2023-11-14 04:00:00,0,0,0.761692978206885,0.795540549137726,0.1124490331690756,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,0
2023-11-14 05:00:00,0,0,0.6535535454504852,0.8860490340228776,0.1625718598204568,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,0
2023-11-14 06:00:00,0,0,0.5420069956565413,0.95384034078631,0.2271734201167346,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,0
2023-11-14 07:00:00,0,0,0.4344613056231869,0.992467079070716,0.3068259960621383,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,0
2023-11-14 08:00:00,0,0,0.3366044149816127,0.9981114264353292,0.4005431261771319,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,0
2023-11-14 09:00:00,0,0,0.2520641063238515,0.9702070790698968,0.5053926334912135,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,0
2023-11-14 10:00:00,0,0,0.1824419476889116,0.9115328926357036,0.6163551452586801,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,0
2023-11-14 11:00:00,0,0,0.1276323856531609,0.8277567757662238,0.7265334899073946,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,0
2023-11-14 12:00:00,0,0,0.1276323856531609,0.7265334899073945,0.8277567757662239,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,0
2023-11-14 13:00:00,0,0,0.1824419476889115,0.6163551452586801,0.9115328926357036,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,0
2023-11-14 14:00:00,0,0,0.2520641063238517,0.5053926334912132,0.970207079069897,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,0
2023-11-14 15:00:00,0,0,0.3366044149816127,0.4005431261771316,0.9981114264353292,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,1
2023-11-14 16:00:00,0,0,0.4344613056231869,0.3068259960621381,0.992467079070716,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,1
2023-11-14 17:00:00,0,0,0.5420069956565413,0.2271734201167346,0.95384034078631,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,1
2023-11-14 18:00:00,0,0,0.6535535454504853,0.1625718598204567,0.8860490340228775,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,1
2023-11-14 19:00:00,0,0,0.761692978206885,0.1124490331690755,0.7955405491377259,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,1
2023-11-14 20:00:00,0,0,0.8580275309732107,0.1443191967731185,0.6903818718787685,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,1
2023-11-14 21:00:00,0,0,0.9342110244260492,0.2039680203347481,0.5790804876286293,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,1
2023-11-14 22:00:00,0,0,0.9831306752582376,0.278626585253856,0.469473386225221,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,1
2023-11-14 23:00:00,0,0,1.0,0.3678794411714425,0.3678794411714421,0.85586171588742,0.1430319054403204,0.6930831046442012,0.7788007830714049,0.7788007830714049,0.1053992245618643,1
2023-11-15 00:00:00,0,0,1.0,0.3678794411714423,0.3678794411714421,0.8613720549180192,0.1463386989615528,0.686172648562185,0.3678794411714423,1.0,0.3678794411714423,1
2023-11-15 01:00:00,0,0,0.9831306752582376,0.4694733862252213,0.2786265852538557,0.8613720549180192,0.1463386989615528,0.686172648562185,0.3678794411714423,1.0,0.3678794411714423,1
2023-11-15 02:00:00,0,0,0.9342110244260492,0.5790804876286293,0.2039680203347481,0.8613720549180192,0.1463386989615528,0.686172648562185,0.3678794411714423,1.0,0.3678794411714423,1
2023-11-15 03:00:00,0,0,0.8580275309732107,0.6903818718787685,0.1443191967731185,0.8613720549180192,0.1463386989615528,0.686172648562185,0.3678794411714423,1.0,0.3678794411714423,1
